0,0,5
0.01,0,7
0.02,0,9
0.03,0,11
0.04,0,13
0.05,0,15
0.06,0,17
0.07,0,19
0.08,0,21
0.09,0,23
0.1,0,25
0.11,0,27
0.12,0,29
0.13,0,31
0.14,0,33
0.15,0,35
0.16,0,37
0.17,0,39
0.18,0,41
0.19,0,43
0.2,0,45
0.21,0,47
0.22,0,49
0.23,0,51
0.24,0,53
0.25,0,55
0.26,0,57
0.27,0,59
0.28,0,61
0.29,0,63
0.3,0,65
0.31,0,67
0.32,0,69
0.33,0,71
0.34,0,73
0.35,0,75
0.36,0,77
0.37,0,79
0.38,0,81
0.39,0,83
0.4,0,85
0.41,0,87
0.42,0,89
0.43,0,91
0.44,0,93
0.45,0,95
0.46,0,97
0.47,0,99
0.48,0,101
0.49,0,103
0.5,0,105
